screen_name,phi,merge
RepJoshG,-0.18967,repjoshg
USRepMikeDoyle,-0.1747,usrepmikedoyle
RepJimCosta,-0.16835,repjimcosta
RepFilemonVela,-0.15542,repfilemonvela
RepJasonSmith,-0.09469,repjasonsmith
RepSires,-0.07957,repsires
RepLouCorrea,-0.06614,reploucorrea
RepGeneGreen,-0.06586,repgenegreen
RepGonzalez,-0.05551,repgonzalez
RepTrey,-0.04374,reptrey
daveloebsack,-0.03911,daveloebsack
RepCuellar,-0.03529,repcuellar
RepChrisSmith,-0.02448,repchrissmith
RepDeSantis,0.11748,repdesantis
RepJohnFaso,0.18429,repjohnfaso
RepChrisCollins,0.19007,repchriscollins
RepTomMacArthur,0.20896,reptommacarthur
RepVisclosky,0.25548,repvisclosky
RepBrianMast,0.27003,repbrianmast
USRepRodney,0.27018,usreprodney
SpeakerRyan,0.28615,speakerryan
SteveKnight25,0.29986,steveknight25
RepMikeCoffman,0.32135,repmikecoffman
RepBrianFitz,0.32538,repbrianfitz
RepAbraham,0.36529,repabraham
HurdOnTheHill,0.38158,hurdonthehill
RepLanceNJ7,0.39837,replancenj7
RepJasonLewis,0.4213,repjasonlewis
RepGallagher,0.4559,repgallagher
RepDavidKustoff,0.4758,repdavidkustoff
RepDavidValadao,0.48364,repdavidvaladao
RepCurbelo,0.50067,repcurbelo
RepAndyHarrisMD,0.52581,repandyharrismd
RepKinzinger,0.52855,repkinzinger
RepFrenchHill,0.54641,repfrenchhill
repdavetrott,0.5539,repdavetrott
RepLoBiondo,0.55826,replobiondo
RepRyanCostello,0.58088,repryancostello
RepSmucker,0.58719,repsmucker
RepLaMalfa,0.59644,replamalfa
MarkAmodeiNV2,0.59697,markamodeinv2
RepDanDonovan,0.60501,repdandonovan
RepErikPaulsen,0.60673,reperikpaulsen
RepChrisStewart,0.60923,repchrisstewart
repgregwalden,0.61339,repgregwalden
USRepGaryPalmer,0.61402,usrepgarypalmer
RepJohnKatko,0.61593,repjohnkatko
RepPoliquin,0.61877,reppoliquin
RepPaulCook,0.61931,reppaulcook
RepTipton,0.62509,reptipton
RepTomEmmer,0.63073,reptomemmer
KeithRothfus,0.64903,keithrothfus
RepMikeBishop,0.6556,repmikebishop
RepDLamborn,0.65838,repdlamborn
davereichert,0.65942,davereichert
RepNewhouse,0.67675,repnewhouse
RepTomRice,0.67987,reptomrice
RepPaulMitchell,0.68144,reppaulmitchell
RepMarshall,0.68978,repmarshall
JimPressOffice,0.69445,jimpressoffice
RepLaHood,0.69932,replahood
RepRickAllen,0.70136,reprickallen
RepKenBuck,0.70437,repkenbuck
RepJeffDenham,0.70503,repjeffdenham
RepEdRoyce,0.70663,repedroyce
RepJackBergman,0.71172,repjackbergman
RepMoolenaar,0.71802,repmoolenaar
USRepLong,0.74325,usreplong
RodneyDavis,0.74528,rodneydavis
RepArrington,0.74642,reparrington
RepGrothman,0.7528,repgrothman
RepScottTaylor,0.76853,repscotttaylor
RepRooney,0.78795,reprooney
DrNealDunnFL2,0.79201,drnealdunnfl2
RepTomReed,0.80392,reptomreed
repdonyoung,0.81206,repdonyoung
MarioDB,0.81672,mariodb
RepDonBacon,0.82356,repdonbacon
RepDavidYoung,0.8292,repdavidyoung
RepPeteKing,0.82981,reppeteking
RepSanfordSC,0.83068,repsanfordsc
RepDrewFerguson,0.83084,repdrewferguson
KenCalvert,0.83154,kencalvert
RepJimBanks,0.83307,repjimbanks
RepTomGarrett,0.83618,reptomgarrett
RepHultgren,0.83757,rephultgren
RepFredUpton,0.84002,repfredupton
RepRohrabacher,0.84617,reprohrabacher
RepGarretGraves,0.85835,repgarretgraves
RepJohnDuncanJr,0.86177,repjohnduncanjr
RepLoudermilk,0.87954,reploudermilk
RepTedBudd,0.88612,reptedbudd
RepRutherfordFL,0.89289,reprutherfordfl
CongMikeSimpson,0.89396,congmikesimpson
RepAlexMooney,0.89858,repalexmooney
RepBost,0.90146,repbost
RepEvanJenkins,0.91575,repevanjenkins
RepStevePearce,0.91774,repstevepearce
RepBlaine,0.91782,repblaine
RepRobWoodall,0.92164,reprobwoodall
RepBuddyCarter,0.92765,repbuddycarter
RepDougCollins,0.9285,repdougcollins
RepKevinYoder,0.92861,repkevinyoder
TomColeOK04,0.93577,tomcoleok04
RepWalterJones,0.94031,repwalterjones
RepRobBishop,0.94338,reprobbishop
RepRussell,0.94549,reprussell
PeterRoskam,0.96404,peterroskam
RepDavid,0.96474,repdavid
RepFrankLucas,0.96552,repfranklucas
RepWesterman,0.97058,repwesterman
RepHalRogers,0.97358,rephalrogers
RepAdrianSmith,0.98186,repadriansmith
RepHuizenga,0.98537,rephuizenga
RepBrianBabin,0.99238,repbrianbabin
RepDavidRouzer,0.99259,repdavidrouzer
RepLarryBucshon,0.99296,replarrybucshon
RepGuthrie,0.99469,repguthrie
RepLukeMesser,0.99866,replukemesser
RepWalberg,1.00235,repwalberg
RepBradWenstrup,1.00683,repbradwenstrup
AustinScottGA08,1.01171,austinscottga08
RepMcKinley,1.01993,repmckinley
RepMcClintock,1.02427,repmcclintock
RepMikeTurner,1.02635,repmiketurner
RepHolding,1.03,repholding
RepSteveStivers,1.03466,repstevestivers
RepAndyBarr,1.03704,repandybarr
RepKevinCramer,1.04084,repkevincramer
RobWittman,1.04951,robwittman
CongressmanGT,1.05474,congressmangt
rep_stevewomack,1.07517,rep_stevewomack
RepBillShuster,1.07544,repbillshuster
RepRickCrawford,1.07986,reprickcrawford
RepShimkus,1.07996,repshimkus
RepByrne,1.08625,repbyrne
RepMullin,1.09054,repmullin
RepDaveJoyce,1.09461,repdavejoyce
JeffFortenberry,1.09756,jefffortenberry
Robert_Aderholt,1.09802,robert_aderholt
RepPittenger,1.1142,reppittenger
ToddRokita,1.11749,toddrokita
ConawayTX11,1.11857,conawaytx11
RepRodBlum,1.12999,reprodblum
RepMikeRogersAL,1.13526,repmikerogersal
RepGusBilirakis,1.13531,repgusbilirakis
TomRooney,1.13894,tomrooney
CongressmanHice,1.14174,congressmanhice
RepSteveChabot,1.14803,repstevechabot
RepChuck,1.14936,repchuck
congbillposey,1.15265,congbillposey
RepMGriffith,1.15364,repmgriffith
DrPhilRoe,1.15528,drphilroe
MacTXPress,1.16337,mactxpress
CongPalazzo,1.17071,congpalazzo
RepTedYoho,1.17498,reptedyoho
RepRWilliams,1.18175,reprwilliams
RepMikeJohnson,1.18339,repmikejohnson
RepRonEstes,1.18466,repronestes
RepJimRenacci,1.18827,repjimrenacci
RepTomGraves,1.19539,reptomgraves
RepBillJohnson,1.19908,repbilljohnson
RepMarkWalker,1.20682,repmarkwalker
TXRandy14,1.21408,txrandy14
VernBuchanan,1.23036,vernbuchanan
RepScottPerry,1.23132,repscottperry
RepBobGibbs,1.23968,repbobgibbs
LamarSmithTX21,1.24623,lamarsmithtx21
RepDennisRoss,1.24648,repdennisross
RepRichHudson,1.2483,reprichhudson
RepWebster,1.25773,repwebster
Rep_Hunter,1.25857,rep_hunter
RepSamGraves,1.26454,repsamgraves
RepMoBrooks,1.26596,repmobrooks
GreggHarper,1.26909,greggharper
PatrickMcHenry,1.27012,patrickmchenry
RepLouBarletta,1.27273,reploubarletta
boblatta,1.27974,boblatta
RepPeteOlson,1.28268,reppeteolson
Raul_Labrador,1.29531,raul_labrador
RepJoeWilson,1.30242,repjoewilson
SamsPressShop,1.30296,samspressshop
RepJoeBarton,1.31687,repjoebarton
DesJarlaisTN04,1.32177,desjarlaistn04
RepMcCaul,1.32667,repmccaul
RepTomMarino,1.33089,reptommarino
GOPLeader,1.34918,gopleader
CongCulberson,1.35356,congculberson
michaelcburgess,1.35459,michaelcburgess
RepDaveBrat,1.3891,repdavebrat
PeteSessions,1.39001,petesessions
JudgeTedPoe,1.39328,judgetedpoe
RepKenMarchant,1.39385,repkenmarchant
RepBillFlores,1.4013,repbillflores
RepClayHiggins,1.40477,repclayhiggins
RepKevinBrady,1.41724,repkevinbrady
RepHensarling,1.4253,rephensarling
JudgeCarter,1.42563,judgecarter
MikeKellyPA,1.4394,mikekellypa
RepRalphNorman,1.46045,repralphnorman
RepGosar,1.48373,repgosar
RepThomasMassie,1.48533,repthomasmassie
SteveKingIA,1.57473,stevekingia
RepLeeZeldin,1.5752,repleezeldin
RepSeanDuffy,1.60282,repseanduffy
RepGoodlatte,1.68244,repgoodlatte
RepRatcliffe,1.76007,repratcliffe
TGowdySC,1.79078,tgowdysc
WarrenDavidson,1.80395,warrendavidson
RepAndyBiggsAZ,1.81091,repandybiggsaz
RepMarkMeadows,1.82791,repmarkmeadows
DarrellIssa,1.86363,darrellissa
RepJeffDuncan,1.92986,repjeffduncan
RepDevinNunes,2.13097,repdevinnunes
Jim_Jordan,2.13851,jim_jordan
replouiegohmert,2.32786,replouiegohmert
RepMattGaetz,2.4975,repmattgaetz
SenKamalaHarris,-1.90953,senkamalaharris
