RepGaramendi,88806753,-0.5474
RepGarretGraves,2951574214,0.85835
RepGeneGreen,1399651950,-0.06586
RepGonzalez,818536152588238849,-0.05551
RepGoodlatte,37920978,1.68244
RepGosar,240760644,1.48373
RepGraceMeng,1051127714,-0.68379
RepGregoryMeeks,22812754,-0.56086
RepGrothman,2976606250,0.7528
RepGusBilirakis,26051676,1.13531
RepGuthrie,1908143071,0.99469
RepGutierrez,36948268,-1.14325
RepGwenMoore,22669526,-0.95858
RepHalRogers,550401754,0.97358
RepHanabusa,235373000,-0.58261
RepHankJohnson,24745957,-0.64739
RepHartzler,237763317,1.07646
RepHensarling,18566912,1.4253
RepHolding,1058460818,1.03
RepHuffman,1071102246,-0.6311
RepHuizenga,233949261,0.98537
RepHultgren,237814920,0.83757
RepJackBergman,815241612154417152,0.71172
RepJaredPolis,463132556,-0.64707
RepJasonSmith,1623308912,-0.09469
RepJayapal,815733290955112448,-1.75807
RepJeffDuncan,240393970,1.92986
RepJeffries,467823431,-1.28975
RepJenniffer,819744763020775425,0.04821
RepJerryNadler,40302336,-1.28582
RepJimBanks,816131319033950208,0.83307
RepJimCosta,245451804,-0.16835
RepJimRenacci,236916916,1.18827
RepJimmyGomez,2371339658,-1.09275
RepJimmyPanetta,796736612554117120,-0.54731
RepJoeBarton,19929362,1.31687
RepJoeCourtney,85396297,-0.54216
RepJoeWilson,254082173,1.30242
RepJohnDelaney,937723303,-0.72308
RepJohnDuncanJr,1883356866,0.86177
RepJohnFaso,815931811348017152,0.18429
RepJohnKatko,2966765501,0.61593
RepJohnLarson,50452197,-0.60051
RepJohnYarmuth,384913290,-0.98071
RepJoseSerrano,33563161,-0.4785
RepJoshG,815310506596691968,-0.18967
RepJuanVargas,1260172386,-0.42809
RepJudyChu,193732179,-1.00752
RepKClark,2293131060,-1.48137
RepKarenBass,239949176,-1.21522
RepKathleenRice,2970462034,-1.11744
RepKayGranger,161743731,1.20227
RepKenBuck,2862577383,0.70437
RepKenMarchant,23976316,1.39385
