""	"State_or_Territory"	"Governor"	"Party"	"Inauguration"	"End_Term"	"Primary_Handle"	"Secondary_Handle"	"Primary_Handle_id"	"Secondary_Handle_id"
31	"New York"	"Andrew Cuomo"	"Democratic"	"1-Jan-11"	"2022[1]"	"NYGovCuomo"	"andrewcuomo"	""	""
32	"North Carolina"	"Roy Cooper"	"Democratic"	"1-Jan-17"	"2025"	"NC_Governor"	"RoyCooperNC"	""	""
33	"North Dakota"	"Doug Burgum"	"Republican"	"15-Dec-16"	"2024"	"DougBurgum"	""	""	""
34	"Ohio"	"Mike DeWine"	"Republican"	"14-Jan-19"	"2023"	"GovMikeDeWine"	"MikeDeWine"	""	""
35	"Oklahoma"	"Kevin Stitt"	"Republican"	"14-Jan-19"	"2023"	"GovStitt"	""	""	""
36	"Oregon"	"Kate Brown"	"Democratic"	"18-Feb-15"	"2023"	"OregonGovBrown"	""	""	""
37	"Pennsylvania"	"Tom Wolf"	"Democratic"	"20-Jan-15"	"2023"	"GovernorTomWolf"	"TomWolfPA"	""	""
38	"Rhode Island"	"Gina Raimondo"	"Democratic"	"January 6th, 2015"	"2021"	"GovRaimondo"	"GinaRaimondo"	""	""
39	"South Carolina"	"Henry McMaster"	"Republican"	"24-Jan-17"	"2023"	"henrymcmaster"	""	""	""
40	"South Dakota"	"Kristi Noem"	"Republican"	"5-Jan-19"	"2023"	"govkristinoem"	"KristiNoem"	""	""
41	"Tennessee"	"Bill Lee"	"Republican"	"19-Jan-19"	"2023"	"GovBillLee"	"BillLeeTN"	""	""
42	"Texas"	"Greg Abbott"	"Republican"	"20-Jan-15"	"2023"	"GovAbbott"	"GregAbbott_TX"	""	""
43	"Utah"	"Gary Herbert"	"Republican"	"August 11th, 2009"	"2021"	"GovHerbert"	""	""	""
44	"Vermont"	"Phil Scott"	"Republican"	"5-Jan-17"	"2023"	"GovPhilScott"	""	""	""
45	"Virginia"	"Ralph Northam"	"Democratic"	"13-Jan-18"	"2022"	"GovernorVA"	"RalphNortham"	""	""
46	"Washington"	"Jay Inslee"	"Democratic"	"16-Jan-13"	"2025"	"GovInslee"	"JayInslee"	""	""
47	"West Virginia"	"Jim Justice"	"Republican"	"16-Jan-17"	"2025"	"WVGovernor"	"JimJusticeWV"	""	""
48	"Wisconsin"	"Tony Evers"	"Democratic"	"7-Jan-19"	"2023"	"GovEvers"	""	""	""
49	"Wyoming"	"Mark Gordon"	"Republican"	"7-Jan-19"	"2023"	"GovernorGordon"	""	""	""
